DATE,valor,name
2012-02-20,286.36275862068965,_03.01.001
2012-02-21,286.33448275862065,_03.01.001
2012-02-22,286.3062068965517,_03.01.001
2012-02-23,286.2779310344827,_03.01.001
2012-02-24,286.2496551724138,_03.01.001
2012-02-25,286.2213793103448,_03.01.001
2012-02-26,286.19310344827585,_03.01.001
2012-02-27,286.16482758620685,_03.01.001
2012-02-28,286.1365517241379,_03.01.001
2012-02-29,286.1082758620689,_03.01.001
2012-03-01,286.08,_03.01.001
2012-03-02,286.0832258064516,_03.01.001
2012-03-03,286.0864516129032,_03.01.001
2012-03-04,286.0896774193548,_03.01.001
2012-03-05,286.0929032258064,_03.01.001
2012-03-06,286.09612903225803,_03.01.001
2012-03-07,286.09935483870964,_03.01.001
2012-03-08,286.10258064516125,_03.01.001
2012-03-09,286.1058064516129,_03.01.001
2012-03-10,286.10903225806453,_03.01.001
2012-03-11,286.11225806451614,_03.01.001
2012-03-12,286.11548387096775,_03.01.001
2012-03-13,286.11870967741936,_03.01.001
2012-03-14,286.12193548387097,_03.01.001
2012-03-15,286.1251612903226,_03.01.001
2012-03-16,286.1283870967742,_03.01.001
2012-03-17,286.1316129032258,_03.01.001
2012-03-18,286.1348387096774,_03.01.001
2012-03-19,286.138064516129,_03.01.001
2012-03-20,286.14129032258063,_03.01.001
2012-03-21,286.14451612903224,_03.01.001
2012-03-22,286.14774193548385,_03.01.001
2012-03-23,286.15096774193546,_03.01.001
2012-03-24,286.15419354838707,_03.01.001
2012-03-25,286.15741935483874,_03.01.001
2012-03-26,286.16064516129035,_03.01.001
2012-03-27,286.16387096774196,_03.01.001
2012-03-28,286.16709677419357,_03.01.001
2012-03-29,286.1703225806452,_03.01.001
2012-03-30,286.1735483870968,_03.01.001
2012-03-31,286.1767741935484,_03.01.001
2012-04-01,286.18,_03.01.001
2012-04-02,286.17633333333333,_03.01.001
2012-04-03,286.17266666666666,_03.01.001
2012-04-04,286.169,_03.01.001
2012-04-05,286.16533333333336,_03.01.001
2012-04-06,286.1616666666667,_03.01.001
2012-04-07,286.158,_03.01.001
2012-04-08,286.15433333333334,_03.01.001
2012-04-09,286.15066666666667,_03.01.001
2012-04-10,286.147,_03.01.001
2012-04-11,286.1433333333333,_03.01.001
2012-04-12,286.13966666666664,_03.01.001
2012-04-13,286.136,_03.01.001
2012-04-14,286.13233333333335,_03.01.001
2012-04-15,286.1286666666667,_03.01.001
2012-04-16,286.125,_03.01.001
2012-04-17,286.1213333333333,_03.01.001
2012-04-18,286.11766666666665,_03.01.001
2012-04-19,286.114,_03.01.001
2012-04-20,286.11033333333336,_03.01.001
2012-04-21,286.1066666666667,_03.01.001
2012-04-22,286.103,_03.01.001
2012-04-23,286.09933333333333,_03.01.001
2012-04-24,286.09566666666666,_03.01.001
2012-04-25,286.092,_03.01.001
2012-04-26,286.0883333333333,_03.01.001
2012-04-27,286.08466666666664,_03.01.001
2012-04-28,286.081,_03.01.001
2012-04-29,286.07733333333334,_03.01.001
2012-04-30,286.07366666666667,_03.01.001
2012-05-01,286.07,_03.01.001
2012-05-02,286.0916129032258,_03.01.001
2012-05-03,286.1132258064516,_03.01.001
2012-05-04,286.1348387096774,_03.01.001
2012-05-05,286.1564516129032,_03.01.001
2012-05-06,286.17806451612904,_03.01.001
2012-05-07,286.1996774193548,_03.01.001
2012-05-08,286.2212903225806,_03.01.001
2012-05-09,286.24290322580646,_03.01.001
2012-05-10,286.26451612903224,_03.01.001
2012-05-11,286.2861290322581,_03.01.001
2012-05-12,286.3077419354839,_03.01.001
2012-05-13,286.32935483870966,_03.01.001
2012-05-14,286.3509677419355,_03.01.001
2012-05-15,286.3725806451613,_03.01.001
2012-05-16,286.3941935483871,_03.01.001
2012-05-17,286.4158064516129,_03.01.001
2012-05-18,286.4374193548387,_03.01.001
2012-05-19,286.4590322580645,_03.01.001
2012-05-20,286.48064516129034,_03.01.001
2012-05-21,286.5022580645161,_03.01.001
2012-05-22,286.5238709677419,_03.01.001
