date,obs_flow,name
2011-10-09,1.291,1 Peralejos
2011-10-10,1.291,1 Peralejos
2011-10-11,1.291,1 Peralejos
2011-10-12,1.291,1 Peralejos
2011-10-13,1.291,1 Peralejos
2011-10-14,1.291,1 Peralejos
2011-10-15,1.291,1 Peralejos
2011-10-16,1.291,1 Peralejos
2011-10-17,1.291,1 Peralejos
2011-10-18,1.291,1 Peralejos
2011-10-19,1.291,1 Peralejos
2011-10-20,1.291,1 Peralejos
2011-10-21,1.291,1 Peralejos
2011-10-22,1.291,1 Peralejos
2011-10-23,1.291,1 Peralejos
2011-10-24,1.291,1 Peralejos
2011-10-25,1.376,1 Peralejos
2011-10-26,1.291,1 Peralejos
2011-10-27,1.376,1 Peralejos
2011-10-28,1.291,1 Peralejos
2011-10-29,1.291,1 Peralejos
2011-10-30,1.291,1 Peralejos
2011-10-31,1.291,1 Peralejos
2011-11-01,1.291,1 Peralejos
2011-11-02,1.291,1 Peralejos
2011-11-03,1.546,1 Peralejos
2011-11-04,1.716,1 Peralejos
2011-11-05,1.839,1 Peralejos
2011-11-06,2.948,1 Peralejos
2011-11-07,2.578,1 Peralejos
2011-11-08,2.455,1 Peralejos
2011-11-09,2.209,1 Peralejos
2011-11-10,2.086,1 Peralejos
2011-11-11,1.839,1 Peralejos
2011-11-12,1.716,1 Peralejos
2011-11-13,1.716,1 Peralejos
2011-11-14,1.631,1 Peralejos
2011-11-15,1.546,1 Peralejos
2011-11-16,1.716,1 Peralejos
2011-11-17,1.716,1 Peralejos
2011-11-18,1.631,1 Peralejos
2011-11-19,1.631,1 Peralejos
2011-11-20,1.631,1 Peralejos
2011-11-21,1.631,1 Peralejos
2011-11-22,1.631,1 Peralejos
2011-11-23,1.716,1 Peralejos
2011-11-24,1.839,1 Peralejos
2011-11-25,1.839,1 Peralejos
2011-11-26,1.716,1 Peralejos
2011-11-27,1.716,1 Peralejos
2011-11-28,1.716,1 Peralejos
2011-11-29,1.631,1 Peralejos
2011-11-30,1.631,1 Peralejos
2011-12-01,1.631,1 Peralejos
2011-12-02,1.631,1 Peralejos
2011-12-03,1.631,1 Peralejos
