19510101
11.3,-0.09
9.82,-0.23
9.97,0.01
11.16,1.32
10.86,1.22
13.73,2.58
18.21,3.78
21.29,2.68
21.29,3.43
20.12,3.41
18.17,1.87
19.68,2.43
16.28,4.46
14.36,5.57
11.54,2.76
11.98,2.92
12.81,3.75
10.1,2.01
6.35,-3.19
4.96,-3.62
5.59,-4.14
7.95,-3.92
11.66,-1.33
16.36,0.32
16.68,2.49
18.37,3.44
17.09,3.63
13.22,4.07
13.19,3.37
11.74,3.65
12.52,4.39
16.53,3.96
17.88,3.89
18.51,3.91
19.34,4.96
19.96,4.85
20.76,5.4
20.36,6.39
16.01,5.09
13.59,1.58
11.82,-0.79
11.9,-0.98
11.92,-0.57
15.31,2.05
17.68,3.08
17.49,5.87
13.64,5.39
13.1,4.06
12.41,2.48
11.65,2.58
11.84,3.03
13.9,4.4
14.04,4.48
14.9,3.45
15.36,4.35
16.45,2.95
16.63,3.74
16.4,3.15
18.67,2.18
21.3,4.46
21.95,5.98
22.32,5.47
21.97,4.54
22.49,5.33
23.51,7.02
23.2,7.5
22.43,6.82
21.85,6.29
20.13,7.06
18.47,6.78
19.93,6.77
21.89,5.42
23.03,6.99
23.44,7.46
23.66,9.31
23.73,8.78
23.69,8.46
23.06,9.54
22.71,8.1
23.03,7.63
23.43,8.18
24.84,9.07
27.22,10.37
26.54,11.51
25.94,8.51
25.47,8.05
25.45,9.29
22.15,10.02
24.17,8.98
25.03,9.58
24.64,7.68
25.49,8.49
25.1,9.91
25.74,8.93
22.47,9.03
21.52,8.19
22.66,8.97
23.31,8.93
25.27,8.31
27.26,10.28
29.39,10.88
30.09,12.21
31.44,12.75
26.52,12.84
25.76,9.5
26.68,9.81
27.83,11.06
28,12.19
28.84,14.42
28.28,12.61
28.1,11.75
22.17,8.69
22.89,10.8
25.6,8.63
28.42,10.45
29.77,10.73
28.67,10.21
30.92,12.4
31.2,12.13
30.57,12.34
29.64,11.63
27.47,12.94
26.83,11.25
27.98,12.46
27.14,13.05
25.93,11.11
28.06,11.09
27.01,12.4
27.01,12.48
22.94,11.48
24.22,10.25
24.08,11.19
25.84,10.29
25.57,11.87
25.35,12.74
22.37,10.16
21.47,8.93
23.56,8.81
24.19,11.57
25.8,12.62
26.16,12.42
26.46,11.2
26.56,12.01
27.41,12.43
26.73,13.77
26.31,10.54
26.57,10.34
27.14,11.4
27.62,12.3
28.47,14.43
30.57,14.81
31.62,14.55
29.59,15.37
27.88,10.73
27.04,9.41
26.18,10.33
27.74,10.76
23.46,9.49
21.59,8.01
21.07,6.35
19.9,7.04
20.39,7.66
24.14,7.39
27.96,9.52
26.95,10.53
25.37,12.72
25.48,12.81
20.58,12.16
20.11,10.73
24.62,9.04
23.46,10.24
23.07,10.5
24.5,7.76
25.12,8.06
24.69,9.09
22.46,6.49
22.02,5.98
21.39,5.44
22.27,5.49
24.02,5.64
19.91,4.88
16.46,2.38
17.41,5.68
16.35,4.92
16.25,3.23
15.46,3.59
17.14,5.46
19,5.74
18.52,5.48
18.75,3.9
19.52,4.37
19.72,4.01
20.92,4.57
22.68,4.99
22.56,6.73
20.52,7.59
18.37,6.74
19.16,4.66
18.48,3.5
17.01,5.5
14.29,1.25
16.05,-0.42
18.38,3.89
21.56,5.52
21.99,6.28
24,6.42
24.94,6.73
22.85,6.91
21.73,8.24
19.56,7.51
17.91,8.01
18.37,6.49
17.55,5.77
16.01,2.53
16.68,0.61
18.77,3.61
20.3,3.82
19.63,6.92
17.6,6.89
15.58,7.03
15.03,3.98
14.58,4.38
15.7,5.4
17.35,5.98
15.58,7.22
15.3,4.52
16.42,5.07
18.49,3.38
18.66,3.91
14.98,2.77
14.05,2.22
12.15,2.66
14,0.9
13.99,0.2
16.08,-2.02
16.17,-1.31
12.09,0.67
11.76,2.37
11.35,0.83
10.74,0.21
13.74,0.07
15.85,-0.42
13.44,-1.09
11.77,-1.4
11.89,-0.28
10.76,-2.58
8.79,-3.42
7.08,-1.49
3.88,-2.81
3.72,-6.65
4.5,-4.84
6.54,-2.34
9.43,1.3
9.65,2.29
11.5,2.04
12.66,5.02
12.68,6.4
12,4.43
13.26,2.45
12.79,2.35
13.15,5.44
12.08,5.89
11.33,4.29
8.12,2.14
4.2,-3.56
5.92,-4.68
8.91,-3.16
7.25,-2.88
7.67,-3.08
7.72,-5.09
9.05,-5.54
8.12,-4.28
7.74,-3.15
8.51,0.48
6.76,-0.47
3.7,-2.46
5.34,-3.88
5.81,-1.77
4.55,-1.74
6.91,-2
9.84,-0.42
10.51,-1.36
12.2,1.19
14.97,2.33
14.44,0.94
11.62,0.21
8.56,-0.66
5.94,-0.66
4.26,-1.58
2.18,-4.52
2.27,-7.1
2.59,-7.1
3.34,-7.33
2.77,-5.66
3.45,-5.08
0.74,-5.61
0.56,-6.67
2.06,-6.19
1.46,-5.18
0.21,-6.34
2.96,-5.99
5.66,-3.78
6.56,-3.37
6.13,-5.11
7.2,-5.31
6.53,-6.11
6.24,-7.1
6.19,-7.34
7.29,-7.84
5.68,-6.94
7.41,-7.41
10.39,-7.95
9.63,-7.47
9.26,-6.94
8.47,-6.92
8.74,-3.95
12.28,-0.83
9.12,-2.23
11.53,-6.98
14.09,-5.76
15.88,-4.27
15.4,-4.47
12.67,-2.46
12.81,-1.77
12.13,-4.87
9.75,-6.77
6.84,-5.76
8.4,-2.38
7.34,-4.27
7.25,-6.93
8.49,-5.72
9.57,-3.52
9.15,-0.78
6.19,-1.83
3.63,-4.83
2.46,-6.79
1.28,-8.06
0.67,-8.5
2.59,-7.68
5.11,-6.75
6.82,-8.54
9.51,-7.66
10.26,-6.55
10.59,-3.88
12.82,-5.03
13.73,-4.7
12.65,-4.23
12.84,-4.33
12.83,-3.38
12.84,-3.13
13.96,-4
13.91,-3.87
11.83,-3.04
11.67,-5.17
12.4,-6.72
13.85,-6.03
13.18,-5.5
14.72,-6.1
12.38,-5.1
11.82,-5.35
13.46,-6.32
13.38,-5.57
5.41,-4.45
7.8,-7.86
8.89,-7.44
6.8,-4.68
11.19,-4.66
8.97,-3.68
8.94,-1.63
8.55,-0.17
9.28,1.2
10.49,1.19
10.78,-3.08
11.89,-3.67
11.78,-4.62
12.52,-3.42
12.46,-3.98
13.28,-2.9
14.66,0.26
18.32,-0.45
17.75,1.21
17.2,2.48
15.83,4.25
17.16,2.99
17.28,3.3
11.29,1.06
13.53,-2.6
14.21,-0.05
16.47,0.7
13.93,3.48
12.87,1.69
11.98,-1.18
17.24,-2.11
19.4,2.9
12.86,1.56
12.15,-2.56
13.42,-2.72
13.27,-3.42
16.12,-3.36
12.14,2.75
12.75,3.09
10.86,3.62
14.1,1.32
13.81,3.19
14.83,3.34
16.7,2.28
16.78,4.23
15.65,3.93
13.93,2.97
12.37,0.95
15.04,-0.01
17.86,2.35
17.56,3.06
10.22,-1.5
12.76,0.23
15.9,1.5
20.3,3.09
22.21,4.5
22.31,4.52
22.19,4.32
20.11,4.34
22.17,4.27
20.71,4.51
20.04,3.86
16.33,4.49
19.41,4.33
23.54,4.82
26.52,7.62
24.92,8.57
22.25,9.39
21.41,6.74
24.4,6.83
26.19,7.08
28.36,8.39
30.36,10
29.47,11.05
26.93,10.83
26.16,10.34
25.95,9.1
21.69,8.24
21.08,5.9
21.29,6.68
21.16,8.11
20.7,6.37
21.76,5.58
18.76,3.83
17.36,3.13
15.16,4.04
11.62,2.19
14.02,3.07
14.3,3.85
17.31,3.41
20.09,2.97
21.3,5.49
21.58,6.43
21.88,7.11
21.89,7.24
23.68,6.39
22.83,8.54
20.03,9.38
20.89,8.01
22.08,7.76
20.83,8.87
23.96,8.41
25.53,8.97
26.79,10.03
28.63,10.73
28.7,11.15
27.21,10.75
24.32,10.45
22.18,10.29
23.1,9.61
22.19,9.07
23.89,8.52
22.69,9.06
23.6,8.17
22.1,8.43
23.21,8.29
25.24,8.41
27.2,9.27
28.84,11.04
26.23,11.18
21.92,8.27
23.9,8.89
25.81,10.57
28.16,11.3
29.45,11.71
29.4,12.18
30.57,12.69
30.43,12.63
28.58,11.21
28.16,9.44
31.4,12.38
32.34,13.26
31.54,12.4
29.54,11.49
30.97,12.86
33.75,14.51
32.24,14.1
30.11,10.85
29.76,11.84
30.23,11.9
28.31,11.15
30.47,10.54
30.76,12.59
31.75,13
27.3,10.83
25.32,8.35
27.94,7.63
30.84,8.32
32.1,10.51
32.8,11.68
30.84,10.56
29.54,11.39
30.93,12.75
31.97,13.33
32,12.81
29.31,12.79
29.03,11.09
29.36,11.52
30.23,12.42
31.07,13.15
32.15,12.8
32.36,12.26
29.54,11.13
27.18,9.76
27.58,10.63
