name,value,group,weight
qf2986,1.898,streamflowb,4.37019
qf2987,1.816,streamflowb,4.37019
qf2988,1.742,streamflowc,6.48569
qf2989,1.667,streamflowc,6.48569
qf2990,1.667,streamflowc,6.48569
qf2991,1.667,streamflowc,6.48569
qf2992,1.667,streamflowc,6.48569
qf2993,1.596,streamflowc,6.48569
qf2994,1.596,streamflowc,6.48569
qf2995,1.596,streamflowc,6.48569
qf2996,1.596,streamflowc,6.48569
qf2997,1.596,streamflowc,6.48569
qf2998,1.596,streamflowc,6.48569
qf2999,1.524,streamflowc,6.48569
qf3000,1.524,streamflowc,6.48569
qf3001,1.524,streamflowc,6.48569
qf3002,1.596,streamflowc,6.48569
qf3003,1.524,streamflowc,6.48569
qf3004,1.524,streamflowc,6.48569
qf3005,1.524,streamflowc,6.48569
qf3006,1.596,streamflowc,6.48569
qf3007,1.524,streamflowc,6.48569
qf3008,1.524,streamflowc,6.48569
qf3009,1.524,streamflowc,6.48569
qf3010,1.524,streamflowc,6.48569
qf3011,1.455,streamflowc,6.48569
qf3012,1.455,streamflowc,6.48569
qf3013,1.455,streamflowc,6.48569
qf3014,1.455,streamflowc,6.48569
qf3015,1.455,streamflowc,6.48569
qf3016,1.385,streamflowc,6.48569
qf3017,1.385,streamflowc,6.48569
qf3018,1.385,streamflowc,6.48569
qf3019,1.385,streamflowc,6.48569
qf3020,1.319,streamflowd,8.11156
qf3021,1.319,streamflowd,8.11156
qf3022,1.319,streamflowd,8.11156
qf3023,1.319,streamflowd,8.11156
qf3024,1.319,streamflowd,8.11156
qf3025,1.252,streamflowd,8.11156
qf3026,1.252,streamflowd,8.11156
qf3027,1.252,streamflowd,8.11156
qf3028,1.319,streamflowd,8.11156
qf3029,1.252,streamflowd,8.11156
qf3030,1.252,streamflowd,8.11156
qf3031,1.189,streamflowd,8.11156
qf3032,1.252,streamflowd,8.11156
qf3033,1.319,streamflowd,8.11156
qf3034,1.319,streamflowd,8.11156
qf3035,1.252,streamflowd,8.11156
qf3036,1.252,streamflowd,8.11156
qf3037,1.319,streamflowd,8.11156
qf3038,1.319,streamflowd,8.11156
qf3039,1.319,streamflowd,8.11156
qf3040,1.319,streamflowd,8.11156
qf3041,1.319,streamflowd,8.11156
qf3042,1.252,streamflowd,8.11156
qf3043,1.252,streamflowd,8.11156
qf3044,1.252,streamflowd,8.11156
qf3045,1.189,streamflowd,8.11156
qf3046,1.189,streamflowd,8.11156
qf3047,1.189,streamflowd,8.11156
qf3048,1.125,streamflowd,8.11156
qf3049,1.064,streamflowd,8.11156
qf3050,1.003,streamflowe,7.79342
qf3051,1.003,streamflowe,7.79342
qf3052,1.003,streamflowe,7.79342
qf3053,1.003,streamflowe,7.79342
qf3054,1.064,streamflowd,8.11156
qf3055,1.064,streamflowd,8.11156
qf3056,1.003,streamflowe,7.79342
qf3057,1.003,streamflowe,7.79342
qf3058,0.945,streamflowe,7.79342
qf3059,0.945,streamflowe,7.79342
qf3060,0.945,streamflowe,7.79342
qf3061,0.945,streamflowe,7.79342
qf3062,0.945,streamflowe,7.79342
qf3063,0.945,streamflowe,7.79342
qf3064,0.945,streamflowe,7.79342
qf3065,1.003,streamflowe,7.79342
qf3066,1.003,streamflowe,7.79342
qf3067,1.003,streamflowe,7.79342
qf3068,0.945,streamflowe,7.79342
qf3069,0.945,streamflowe,7.79342
qf3070,1.003,streamflowe,7.79342
qf3071,1.003,streamflowe,7.79342
qf3072,0.945,streamflowe,7.79342
qf3073,0.945,streamflowe,7.79342
qf3074,1.003,streamflowe,7.79342
qf3075,1.003,streamflowe,7.79342
qf3076,0.945,streamflowe,7.79342
qf3077,0.886,streamflowe,7.79342
qf3078,0.886,streamflowe,7.79342
qf3079,0.886,streamflowe,7.79342
qf3080,0.945,streamflowe,7.79342
qf3081,0.886,streamflowe,7.79342
qf3082,0.886,streamflowe,7.79342
qf3083,0.945,streamflowe,7.79342
qf3084,1.064,streamflowd,8.11156
qf3085,1.189,streamflowd,8.11156
qf3086,1.064,streamflowd,8.11156
qf3087,1.003,streamflowe,7.79342
qf3088,1.003,streamflowe,7.79342
qf3089,1.003,streamflowe,7.79342
qf3090,0.945,streamflowe,7.79342
qf3091,0.945,streamflowe,7.79342
qf3092,0.886,streamflowe,7.79342
qf3093,0.834,streamflowe,7.79342
qf3094,0.781,streamflowe,7.79342
qf3095,0.834,streamflowe,7.79342
qf3096,0.834,streamflowe,7.79342
qf3097,0.945,streamflowe,7.79342
qf3098,1.064,streamflowd,8.11156
qf3099,1.003,streamflowe,7.79342
qf3100,1.003,streamflowe,7.79342
qf3101,0.945,streamflowe,7.79342
qf3102,0.945,streamflowe,7.79342
qf3103,0.945,streamflowe,7.79342
qf3104,0.945,streamflowe,7.79342
qf3105,0.945,streamflowe,7.79342
qf3106,1.003,streamflowe,7.79342
qf3107,1.319,streamflowd,8.11156
qf3108,0.945,streamflowe,7.79342
qf3109,0.886,streamflowe,7.79342
qf3110,0.945,streamflowe,7.79342
qf3111,0.886,streamflowe,7.79342
qf3112,0.886,streamflowe,7.79342
qf3113,0.886,streamflowe,7.79342
qf3114,0.834,streamflowe,7.79342
qf3115,0.834,streamflowe,7.79342
qf3116,0.834,streamflowe,7.79342
qf3117,0.834,streamflowe,7.79342
qf3118,0.781,streamflowe,7.79342
qf3119,0.781,streamflowe,7.79342
qf3120,0.729,streamflowe,7.79342
qf3121,0.677,streamflowe,7.79342
qf3122,0.624,streamflowe,7.79342
qf3123,0.677,streamflowe,7.79342
qf3124,0.624,streamflowe,7.79342
qf3125,0.624,streamflowe,7.79342
qf3126,0.624,streamflowe,7.79342
qf3127,0.572,streamflowe,7.79342
qf3128,0.572,streamflowe,7.79342
qf3129,0.572,streamflowe,7.79342
qf3130,0.624,streamflowe,7.79342
qf3131,0.624,streamflowe,7.79342
qf3132,0.624,streamflowe,7.79342
qf3133,0.624,streamflowe,7.79342
qf3134,0.624,streamflowe,7.79342
qf3135,0.729,streamflowe,7.79342
qf3136,0.729,streamflowe,7.79342
qf3137,0.729,streamflowe,7.79342
qf3138,0.729,streamflowe,7.79342
qf3139,0.729,streamflowe,7.79342
qf3140,0.729,streamflowe,7.79342
qf3141,0.781,streamflowe,7.79342
qf3142,0.781,streamflowe,7.79342
qf3143,0.781,streamflowe,7.79342
qf3144,0.781,streamflowe,7.79342
qf3145,0.781,streamflowe,7.79342
qf3146,0.834,streamflowe,7.79342
qf3147,0.834,streamflowe,7.79342
qf3148,0.781,streamflowe,7.79342
qf3149,0.729,streamflowe,7.79342
qf3150,0.729,streamflowe,7.79342
qf3151,0.781,streamflowe,7.79342
qf3152,0.781,streamflowe,7.79342
qf3153,0.781,streamflowe,7.79342
qf3154,0.781,streamflowe,7.79342
qf3155,0.729,streamflowe,7.79342
qf3156,0.729,streamflowe,7.79342
qf3157,0.729,streamflowe,7.79342
qf3158,0.729,streamflowe,7.79342
qf3159,0.729,streamflowe,7.79342
qf3160,0.729,streamflowe,7.79342
qf3161,0.729,streamflowe,7.79342
qf3162,0.729,streamflowe,7.79342
qf3163,0.729,streamflowe,7.79342
qf3164,0.729,streamflowe,7.79342
qf3165,0.781,streamflowe,7.79342
qf3166,0.781,streamflowe,7.79342
qf3167,0.729,streamflowe,7.79342
qf3168,0.729,streamflowe,7.79342
qf3169,0.729,streamflowe,7.79342
qf3170,0.729,streamflowe,7.79342
qf3171,0.729,streamflowe,7.79342
qf3172,0.729,streamflowe,7.79342
qf3173,0.677,streamflowe,7.79342
qf3174,0.729,streamflowe,7.79342
qf3175,0.729,streamflowe,7.79342
qf3176,0.729,streamflowe,7.79342
qf3177,0.729,streamflowe,7.79342
qf3178,0.729,streamflowe,7.79342
qf3179,0.729,streamflowe,7.79342
qf3180,0.729,streamflowe,7.79342
qf3181,0.729,streamflowe,7.79342
qf3182,0.729,streamflowe,7.79342
qf3183,0.729,streamflowe,7.79342
qf3184,0.729,streamflowe,7.79342
qf3185,0.729,streamflowe,7.79342
qf3186,0.729,streamflowe,7.79342
qf3187,0.886,streamflowe,7.79342
qf3188,0.945,streamflowe,7.79342
qf3189,0.886,streamflowe,7.79342
qf3190,0.834,streamflowe,7.79342
qf3191,0.834,streamflowe,7.79342
qf3192,0.834,streamflowe,7.79342
qf3193,0.834,streamflowe,7.79342
qf3194,0.945,streamflowe,7.79342
qf3195,0.886,streamflowe,7.79342
qf3196,1.018,streamflowe,7.79342
qf3197,1.018,streamflowe,7.79342
qf3198,1.018,streamflowe,7.79342
qf3199,1.018,streamflowe,7.79342
qf3200,1.12,streamflowd,8.11156
qf3201,1.018,streamflowe,7.79342
qf3202,0.916,streamflowe,7.79342
qf3203,0.916,streamflowe,7.79342
qf3204,1.018,streamflowe,7.79342
qf3205,1.222,streamflowd,8.11156
qf3206,1.12,streamflowd,8.11156
qf3207,1.324,streamflowd,8.11156
qf3208,1.12,streamflowd,8.11156
qf3209,1.12,streamflowd,8.11156
qf3210,0.916,streamflowe,7.79342
qf3211,1.018,streamflowe,7.79342
qf3212,0.916,streamflowe,7.79342
qf3213,0.916,streamflowe,7.79342
qf3214,0.814,streamflowe,7.79342
qf3215,0.814,streamflowe,7.79342
qf3216,0.814,streamflowe,7.79342
qf3217,0.814,streamflowe,7.79342
qf3218,0.775,streamflowe,7.79342
qf3219,0.814,streamflowe,7.79342
qf3220,0.814,streamflowe,7.79342
qf3221,0.916,streamflowe,7.79342
qf3222,0.916,streamflowe,7.79342
qf3223,1.018,streamflowe,7.79342
qf3224,1.018,streamflowe,7.79342
qf3225,0.916,streamflowe,7.79342
qf3226,1.018,streamflowe,7.79342
qf3227,1.018,streamflowe,7.79342
qf3228,1.12,streamflowd,8.11156
qf3229,1.12,streamflowd,8.11156
qf3230,1.222,streamflowd,8.11156
qf3231,0.916,streamflowe,7.79342
qf3232,0.916,streamflowe,7.79342
qf3233,0.916,streamflowe,7.79342
qf3234,1.018,streamflowe,7.79342
qf3235,1.018,streamflowe,7.79342
qf3236,0.916,streamflowe,7.79342
qf3237,1.12,streamflowd,8.11156
qf3238,1.018,streamflowe,7.79342
qf3239,1.018,streamflowe,7.79342
qf3240,1.324,streamflowd,8.11156
qf3241,1.222,streamflowd,8.11156
qf3242,1.018,streamflowe,7.79342
qf3243,1.018,streamflowe,7.79342
qf3244,1.018,streamflowe,7.79342
qf3245,0.916,streamflowe,7.79342
qf3246,0.916,streamflowe,7.79342
