name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa2183,1.376,4.46326e-16,1.376,1.376,1.376,1.376,0.649158,0.183857,0.3055,1.177,0.465301,0.833015,0.199
qa2184,1.376,4.46326e-16,1.376,1.376,1.376,1.376,0.626759,0.177307,0.2988,1.17,0.449452,0.804066,0.206
qa2185,1.376,4.46326e-16,1.376,1.376,1.376,1.376,0.604565,0.168594,0.2945,1.119,0.435971,0.773159,0.257
qa2186,1.376,4.46326e-16,1.376,1.376,1.376,1.376,0.585872,0.166012,0.2747,1.096,0.41986,0.751884,0.28
qa2187,1.376,4.46326e-16,1.376,1.376,1.376,1.376,0.566139,0.159624,0.2716,1.064,0.406515,0.725763,0.312
qa2188,1.376,4.46326e-16,1.376,1.376,1.376,1.376,0.54833,0.155426,0.2568,1.044,0.392904,0.703756,0.332
qa2189,1.376,4.46326e-16,1.376,1.376,1.376,1.376,0.532207,0.148724,0.2483,0.9893,0.383483,0.680931,0.3867
qa2190,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.516328,0.143131,0.242,0.9428,0.373197,0.659459,0.3482
qa2191,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.502658,0.139833,0.2343,0.9367,0.362825,0.642491,0.3543
qa2192,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.489304,0.136465,0.2341,0.9251,0.352839,0.625769,0.3659
qa2193,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.477042,0.13374,0.2192,0.9174,0.343302,0.610782,0.3736
qa2194,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.465682,0.129626,0.2139,0.8892,0.336056,0.595308,0.4018
qa2195,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.453122,0.125502,0.2135,0.8772,0.32762,0.578624,0.4138
qa2196,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.443846,0.122942,0.2084,0.8616,0.320904,0.566788,0.4294
qa2197,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.433527,0.119837,0.2014,0.8636,0.31369,0.553364,0.4274
qa2198,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.425244,0.118174,0.1956,0.8411,0.30707,0.543418,0.4499
qa2199,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.416806,0.113634,0.2155,0.8417,0.303172,0.53044,0.4493
qa2200,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.408468,0.112626,0.1954,0.8253,0.295842,0.521094,0.4657
qa2201,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.39973,0.107747,0.1947,0.8006,0.291983,0.507477,0.4044
qa2202,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.392679,0.107339,0.1952,0.8046,0.28534,0.500018,0.4004
qa2203,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.385288,0.105792,0.1892,0.804,0.279496,0.49108,0.401
qa2204,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.378589,0.104236,0.1899,0.7991,0.274353,0.482825,0.4059
qa2205,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.371733,0.103327,0.1777,0.7942,0.268406,0.47506,0.4108
qa2206,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.374749,0.10029,0.187,0.7753,0.274459,0.475039,0.4297
qa2207,1.291,2.23163e-16,1.291,1.291,1.291,1.291,0.370775,0.09792,0.1932,0.7572,0.272855,0.468695,0.5338
qa2208,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.388506,0.0973475,0.2021,0.7685,0.291158,0.485854,0.4365
qa2209,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.452285,0.102482,0.2492,0.7815,0.349803,0.554767,0.4235
qa2210,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.479051,0.112538,0.2567,0.8254,0.366513,0.591589,0.3796
qa2211,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.503518,0.117123,0.2809,0.8732,0.386395,0.620641,0.3318
qa2212,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.510549,0.116734,0.278,0.8829,0.393815,0.627283,0.3221
qa2213,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.506434,0.116381,0.2713,0.8539,0.390053,0.622815,0.3511
qa2214,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.498938,0.116602,0.2688,0.8662,0.382336,0.61554,0.3388
qa2215,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.489781,0.115634,0.2556,0.8549,0.374147,0.605415,0.3501
qa2216,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.476821,0.111365,0.2641,0.8263,0.365456,0.588186,0.3787
qa2217,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.463125,0.111055,0.2478,0.8146,0.35207,0.57418,0.3904
qa2218,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.452179,0.107374,0.2452,0.7863,0.344805,0.559553,0.4187
qa2219,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.441451,0.102925,0.2449,0.7587,0.338526,0.544376,0.4463
qa2220,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.429515,0.1011,0.2296,0.7426,0.328415,0.530615,0.4624
qa2221,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.419658,0.0990234,0.2314,0.7415,0.320635,0.518681,0.3785
qa2222,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.406149,0.097134,0.2241,0.7307,0.309015,0.503283,0.3893
qa2223,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.396395,0.095167,0.2115,0.7223,0.301228,0.491562,0.3977
qa2224,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.387775,0.0937156,0.2126,0.6977,0.294059,0.481491,0.4223
qa2225,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.379319,0.0910114,0.2143,0.7023,0.288308,0.47033,0.4177
qa2226,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.369977,0.0887978,0.2096,0.6981,0.281179,0.458775,0.4219
qa2227,1.205,6.6949e-16,1.205,1.205,1.205,1.205,0.360503,0.0884179,0.1974,0.6965,0.272085,0.448921,0.5085
qa2228,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.355648,0.087209,0.1926,0.6929,0.268439,0.442857,0.4271
qa2229,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.350053,0.0863831,0.1846,0.6933,0.26367,0.436436,0.4267
qa2230,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.340514,0.0839429,0.1956,0.6756,0.256571,0.424457,0.4444
qa2231,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.335183,0.0821115,0.184,0.6722,0.253071,0.417295,0.4478
