iteration,total_runs,obs_realization,par_realization,streamflowa,streamflowb,streamflowc,streamflowd,streamflowe,gwhead
1,280,55,55,58622.2,47602.2,53051.4,34747.5,22889.9,54963.8
1,280,56,56,62445.4,28486,34651.1,25188.9,8215.3,8997.58
1,280,57,57,61074.1,21916.4,28995.4,22654,6618.08,17955.8
1,280,58,58,57209.3,37860.9,47965.5,32341,18856.3,15637.2
1,280,59,59,54565,50797.3,49247.6,26669.9,22709.3,34249.1
1,280,60,60,69819.6,39905.6,50319.2,33039.1,16027.4,12437.6
1,280,61,61,75448.1,23270.1,33811,31416,8913.37,8125.9
1,280,62,62,55531.7,54976.8,53017.1,28568.4,10985.6,17211.5
1,280,63,63,56355.9,34351.6,43343.2,33979.3,9990.63,19018.4
1,280,64,64,59295.8,51269.9,58267.4,36365.2,24777.6,21974.9
1,280,65,65,70687,29967.2,41542.1,31503.6,16351.9,10927.5
1,280,66,66,64047.5,103663,109998,67126.3,135837,8463.3
1,280,67,67,59363.5,33032.2,39711.7,26587.4,10007.8,19728
1,280,68,68,52453.6,89103.2,75069.9,41612.6,33035.1,16555.1
1,280,69,69,66659.8,31738.4,41990.7,40792.4,11778.5,18915.7
1,280,70,70,64708.8,36584.5,43510.5,23137.9,21668,8585.91
1,280,71,71,68584.9,26448.5,31871,20885,6554.98,11134.6
1,280,72,72,67904.9,25361.4,32137.5,20841.6,9268.46,14778.1
1,280,73,73,55369.2,47937.1,51726.6,31746.2,15512.1,9657.91
1,280,74,74,54555.7,46574.3,48886.7,24999.3,24639.3,20972.3
1,280,75,75,51047.8,38110.1,38966.5,22567.9,12022.9,18377.5
1,280,76,76,59285.4,31714.9,42970.5,35007.1,14921.8,17507.2
1,280,77,77,53973.5,109779,104722,78983.7,144833,17722.5
1,280,78,78,62007.6,47254.2,52440.9,26725.1,15387.6,16123.4
1,280,79,79,57001,35153.9,46770.5,32784.5,10768.6,14996.2
1,280,80,80,47568.5,71892,65268.8,38160.6,36824.3,10937.7
1,280,81,81,55395.3,58689.3,54523.2,32645.2,12445.5,20357.4
1,280,82,82,69129.3,28439.5,36050.6,29682.6,7214.07,21567.1
1,280,83,83,51825,61703.8,56132.6,35147.7,10821.7,11191.3
1,280,84,84,75397.9,20896.8,32121.5,29681.3,8167.16,11595.3
1,280,85,85,65303.8,51768.8,60587.5,26687,25470.1,49793.6
1,280,86,86,65354,37092.6,42538.3,32319.6,8070.19,27458.1
1,280,87,87,50411.2,67179.4,67687,42983.8,38031.9,21230.3
1,280,88,88,52078.7,54754.3,58053.4,29584.2,34479,29985.8
1,280,89,89,38130.5,34749,36988.4,23043.4,10734.8,7550.51
1,280,90,90,42969.4,35997.6,46804.5,40786,14991.6,24882.4
1,280,91,91,64074.3,32848.8,42587.1,41864.2,12181.2,7493.14
1,280,92,92,62796.6,38997.5,45730.9,29730.6,13283.1,12979.5
1,280,93,93,71525.8,25570.1,37476.2,35482.4,12998.2,18185.8
