name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa3126,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.708317,0.469594,0.1149,2.028,0.238723,1.17791,0.212
qa3127,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.69759,0.463269,0.1065,2.019,0.234321,1.16086,0.221
qa3128,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.687713,0.458893,0.1035,2.018,0.22882,1.14661,0.222
qa3129,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.676812,0.456099,0.0903,2.018,0.220713,1.13291,0.222
qa3130,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.667284,0.450991,0.0887,2.016,0.216293,1.11828,0.224
qa3131,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.658796,0.445933,0.0796,1.987,0.212863,1.10473,0.253
qa3132,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.648941,0.443934,0.0889,1.966,0.205007,1.09287,0.274
qa3133,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.638762,0.440045,0.0743,1.948,0.198717,1.07881,0.292
qa3134,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.631363,0.434441,0.076,1.958,0.196922,1.0658,0.282
qa3135,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.624535,0.432046,0.0769,1.949,0.192489,1.05658,0.291
qa3136,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.619823,0.428688,0.0742,1.93,0.191135,1.04851,0.31
qa3137,2.24,1.33898e-15,2.24,2.24,2.24,2.24,0.611421,0.425062,0.0693,1.931,0.186359,1.03648,0.309
qa3138,2.124,4.46326e-16,2.124,2.124,2.124,2.124,0.60704,0.42203,0.0609,1.928,0.18501,1.02907,0.196
qa3139,2.124,4.46326e-16,2.124,2.124,2.124,2.124,0.598732,0.417074,0.0658,1.893,0.181658,1.01581,0.231
qa3140,2.124,4.46326e-16,2.124,2.124,2.124,2.124,0.592596,0.414477,0.0584,1.885,0.178119,1.00707,0.239
