 Model                     SWAT+ Mar 13 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
    31     1    31  2006      29      52  cha052               0.5489E+00     0.0000E+00     0.8060E+00     0.5489E+00     0.1224E+01     0.1224E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5623E+02     0.1610E+01     0.3330E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2723E+01     0.0000E+00     0.3998E+01     0.1034E+00     0.1326E+02     0.1076E+00     0.1610E+01     0.2219E+03
    31     1    31  2006      30      53  cha053               0.1293E+00     0.0000E+00     0.1339E+00     0.1293E+00     0.3097E-06     0.3097E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6702E+02     0.1810E+01     0.5090E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4786E+00     0.0000E+00     0.4958E+00     0.1434E-07     0.1238E+01     0.3883E-06     0.1810E+01     0.3977E+03
    31     1    31  2006      31      55  cha055               0.5403E+00     0.0000E+00     0.4534E+00     0.5403E+00     0.1580E-05     0.1580E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6362E+02     0.1748E+01     0.3430E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2182E+01     0.0000E+00     0.1831E+01     0.7072E-07     0.1522E+02     0.9248E-04     0.1748E+01     0.1822E+03
    31     1    31  2006      32      57  cha057               0.2096E+00     0.0000E+00     0.1688E+00     0.2096E+00     0.1723E-05     0.1723E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6940E+02     0.1853E+01     0.5800E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7320E+00     0.0000E+00     0.5898E+00     0.7724E-07     0.1010E+02     0.2841E-05     0.1853E+01     0.2849E+03
    31     1    31  2006      33      58  cha058               0.6149E+00     0.0000E+00     0.5340E+00     0.6149E+00     0.6541E-05     0.6541E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5735E+02     0.1631E+01     0.1051E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2952E+01     0.0000E+00     0.2564E+01     0.2152E-06     0.1388E+02     0.1214E-03     0.1631E+01     0.4109E+03
    31     1    31  2006      34      60  cha060               0.7245E-01     0.0000E+00     0.1292E+00     0.7245E-01     0.2191E-06     0.2191E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6581E+02     0.1788E+01     0.3240E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2765E+00     0.0000E+00     0.4931E+00     0.1824E-07     0.1059E+01     0.2706E-05     0.1788E+01     0.3053E+03
    31     1    31  2006      35      62  cha062               0.2254E-01     0.0000E+00     0.6650E-01     0.2254E-01     0.1733E-06     0.1733E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5574E+02     0.1601E+01     0.8310E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1134E+00     0.0000E+00     0.3347E+00     0.1644E-07     0.9741E+00     0.2357E-05     0.1601E+01     0.3441E+03
    31     1    31  2006      36      63  cha063               0.7071E-03     0.0000E+00     0.2237E-01     0.7071E-03     0.1493E-06     0.1493E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5354E+02     0.1558E+01     0.9450E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3806E-02     0.0000E+00     0.1204E+00     0.1403E-07     0.3676E+00     0.5119E-06     0.1558E+01     0.3369E+03
    31     1    31  2006      37      65  cha065               0.2205E+00     0.0000E+00     0.2089E+00     0.2205E+00     0.7354E-05     0.7354E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4283E+02     0.1343E+01     0.8630E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1722E+01     0.0000E+00     0.1631E+01     0.2353E-06     0.9392E+01     0.1943E-05     0.1343E+01     0.1251E+03
    31     1    31  2006      38      67  cha067               0.5033E+00     0.0000E+00     0.5482E+00     0.5033E+00     0.2117E+00     0.2117E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5292E+02     0.1546E+01     0.6670E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2762E+01     0.0000E+00     0.3009E+01     0.3098E-01     0.1171E+02     0.2207E-01     0.1546E+01     0.2761E+03
